Topic: Allergy & intolerance

/cdsr/doi/10.1002/14651858.CD008263.pub3/full | Allergy & intolerance | Topical and systemic antifungal therapy for the symptomatic treatment of chronic rhinosinusitis | Peta‐Lee Sacks, Richard J Harvey, Janet Rimmer, Richard M Gallagher, Raymond Sacks | 2018-09-05

/cdsr/doi/10.1002/14651858.CD012597.pub2/full | Allergy & intolerance | Saline irrigation for allergic rhinitis | Karen Head, Kornkiat Snidvongs, Simon Glew, Glenis Scadding, Anne GM Schilder, Carl Philpott, Claire Hopkins | 2018-06-22

/cdsr/doi/10.1002/14651858.CD009238.pub2/full | Allergy & intolerance | Helminth therapy (worms) for allergic rhinitis | Ashley M Croft, Peter Bager, Sushil K Garg | 2012-04-18

/cdsr/doi/10.1002/14651858.CD002893.pub2/full | Allergy & intolerance | Sublingual immunotherapy for allergic rhinitis | Suzana Radulovic, Moises A Calderon, Duncan Wilson, Stephen Durham | 2010-12-08

/cdsr/doi/10.1002/14651858.CD005235.pub2/full | Allergy & intolerance | Inferior turbinate surgery for nasal obstruction in allergic rhinitis after failed medical treatment | Jemy Jose, Andrew P Coatesworth | 2010-12-08

/cdsr/doi/10.1002/14651858.CD006989.pub2/full | Allergy & intolerance | Antihistamines used in addition to topical nasal steroids for intermittent and persistent allergic rhinitis in children | Mona Nasser, Zbys Fedorowicz, Hamad Aljufairi, William McKerrow | 2010-07-07

/cdsr/doi/10.1002/14651858.CD001563.pub3/full | Allergy & intolerance | House dust mite avoidance measures for perennial allergic rhinitis | Aziz Sheikh, Brian Hurwitz, Ulugbek Nurmatov, Constant Paul van Schayck | 2010-07-07

/cdsr/doi/10.1002/14651858.CD001936.pub2/full | Allergy & intolerance | Allergen injection immunotherapy for seasonal allergic rhinitis | Moises A Calderon, Bernadette Alves, Mikila Jacobson, Brian Hurwitz, Aziz Sheikh, Stephen Durham | 2007-01-24

/cdsr/doi/10.1002/14651858.CD003163.pub4/full | Allergy & intolerance | Topical nasal steroids for intermittent and persistent allergic rhinitis in children | Jamal J Al Sayyad, Zbys Fedorowicz, Dunia Alhashimi, Ahmed Jamal | 2007-01-24

/cdsr/doi/10.1002/14651858.CD004460.pub2/full | Allergy & intolerance | Capsaicin for allergic rhinitis in adults | Jing Cheng, Xiang Ning Yang, Xian Liu, Shi Ping Zhang | 2006-04-19

/cdsr/doi/10.1002/14651858.CD008263.pub3/full | Allergy & intolerance | Topical and systemic antifungal therapy for the symptomatic treatment of chronic rhinosinusitis | Peta‐Lee Sacks, Richard J Harvey, Janet Rimmer, Richard M Gallagher, Raymond Sacks | 2018-09-05

/cdsr/doi/10.1002/14651858.CD012597.pub2/full | Allergy & intolerance | Saline irrigation for allergic rhinitis | Karen Head, Kornkiat Snidvongs, Simon Glew, Glenis Scadding, Anne GM Schilder, Carl Philpott, Claire Hopkins | 2018-06-22

/cdsr/doi/10.1002/14651858.CD009238.pub2/full | Allergy & intolerance | Helminth therapy (worms) for allergic rhinitis | Ashley M Croft, Peter Bager, Sushil K Garg | 2012-04-18

/cdsr/doi/10.1002/14651858.CD002893.pub2/full | Allergy & intolerance | Sublingual immunotherapy for allergic rhinitis | Suzana Radulovic, Moises A Calderon, Duncan Wilson, Stephen Durham | 2010-12-08

